Reaction;fcc(pgi);fcc(gpmA);fcc(pykA);fcc(pgl);fcc(rpe);fcc(rpiA);fcc(tktB);fcc(talA)
GLCpts;0.0179471980621534;0.0152676584113202;0.0165777085681707;-0.0717109665177339;-0.08045630233682;-0.146763340570625;-0.0231757397214791;0.02244082456866
PGI;5.23;1.29;0.0589657168022408;-0.0742530880991039;-0.139078982312363;0.062955618423545;-0.0923399423017204;-0.060642943220341
PFK;0.347706699126674;0.0950915578927509;0.0333552086145824;-0.0741070483389311;-0.105361711738416;0.164118153689055;-0.0413258228266374;0.00586033784612711
FBA;0.347706699126674;0.0950915578927509;0.0333552086145824;-0.0741070483389311;-0.105361711738416;0.164118153689055;-0.0413258228266374;0.00586033784612711
TPI;0.347706699126674;0.0950915578927509;0.0333552086145824;-0.0741070483389311;-0.105361711738416;0.164118153689055;-0.0413258228266374;0.00586033784612711
GAPD;0.148084685336742;0.0477703306450457;0.0326859965703152;-0.072011765206731;-0.0963215507850263;-0.00864323368647243;-0.0320809651334989;0.0165639535006337
PGM;0.159793020758519;0.0508472182228212;0.0298845073619794;-0.0708374575842948;-0.102515957185498;-0.0164844030772072;-0.0346597346423111;0.0188703604812062
PYK;0.81481633023547;0.244330296999497;-0.0517453830804195;-0.103368361881433;-0.213373933548666;-0.0690951708829329;0.0919758152951225;0.201992354937199
PDH;0.0406779375264047;0.0395375837526284;0.0230493894897343;-0.0751310169202857;-0.136106650327835;-0.303177345856603;0.0317802117881444;0.116467896108396
PGL;-0.58377153518666;-0.0904896108964754;-0.242607308881165;-0.111088726200012;0.254174965745703;-0.908787445539618;0.201702661121839;0.341231554298101
GND;-0.414404815894163;-0.0481479310733512;-0.242607308881165;-0.111088726200012;0.254174965745703;0.462805072206818;0.201702661121839;0.341231554298101
RPE;-0.618514524351429;-0.0895612163792237;-0.464156626215084;-0.208882397702295;4.12;0.765525977683697;0.434330250078195;0.685404815478626
RPI;-0.275914549951535;-0.0410118029538579;-0.146730242112188;0.00388724670776286;0.183865289251081;0.388047274115763;0.119203858561586;0.158865695576914
TKT1;-0.476073718936608;-0.0551035607349727;-0.350585876361037;-0.170278131281202;0.423307075673915;0.457114392446839;0.288165199691983;0.490607325876865
TALA;-0.476073718936608;-0.0551035607349727;-0.350585876361037;-0.170278131281202;0.423307075673915;0.457114392446839;0.288165199691983;0.490607325876865
TKT2;-2.57;-1.41;-5.43;-2.59;-1.63;8.32;3.94;5.26
CS;0.104981564475747;0.0466109153356097;0.0443812553969258;-0.0854467913459478;-0.170043226956969;-0.357966287651003;-0.0725041757061576;0.0161703494725637
ACONTa;0.104981564475747;0.0466109153356097;0.0443812553969258;-0.0854467913459478;-0.170043226956969;-0.357966287651003;-0.0725041757061576;0.0161703494725637
ICDHyr;0.203015890160707;0.0421564596819775;0.0712166666185798;-0.0982413006259762;-0.187227261589469;-0.343764594531523;-0.219957374321767;-0.145909882619685
AKGDH;0.231340234568065;0.0458941955819587;0.0604321953508641;-0.108632151844444;-0.208967077826788;-0.412315181633648;-0.254970873708142;-0.182061030893055
SUCDi;0.120123093441935;0.05032748723641;0.0522376821820216;-0.0895245423981863;-0.186650517056596;-0.40409758491118;-0.0837694440067146;0.0206156964971
FUM;0.120123093441935;0.05032748723641;0.0522376821820216;-0.0895245423981863;-0.186650517056596;-0.40409758491118;-0.0837694440067146;0.0206156964971
MDH;0.0523252516520075;0.0477658673645408;-0.0117501302273555;-0.0962638279367144;-0.18820710203761;-0.461491742308902;0.0154994268737789;0.132209247837504
PPC;3.47;-0.0101726673682621;-2.02;-1.22;3.32;13.8;-2.47;-3.20
ME1;-2.78;-0.116578145632424;3.01;1.46;1.10;4.61;2.18;2.91
ICL;-0.292215184855063;0.0354343987194181;-0.495276051401145;-0.231538297043656;-0.247972327560749;-1.08;8.56;1.45
MALS;-0.292215184855063;0.0354343987194181;-0.495276051401145;-0.231538297043656;-0.247972327560749;-1.08;8.56;1.45
