Reaction;fcc(pgi);fcc(gpmA);fcc(pykA);fcc(pgl);fcc(rpe);fcc(rpiA);fcc(tktB);fcc(talA)
GLCpts;0.065721614711267;0.0524989883520897;0.141636230547485;-0.010970552087869;-0.0347404956020609;0.0443509793927707;0.0673987897195049;0.143151561576888
PGI;5.32;0.0649772003741065;0.290716574366422;0.0383073588830966;-0.0543612257985667;0.417117068945391;0.0755072746587698;0.163050863296007
PFK;0.409692305874136;0.062056259603529;0.195614193810846;0.00470147945912331;-0.046047078150811;0.412082187830318;0.0761914082993958;0.162478226649323
FBA;0.409692305874136;0.062056259603529;0.195614193810846;0.00470147945912331;-0.046047078150811;0.412082187830318;0.0761914082993958;0.162478226649323
TPI;0.409692305874136;0.062056259603529;0.195614193810846;0.00470147945912331;-0.046047078150811;0.412082187830318;0.0761914082993958;0.162478226649323
GAPD;0.206568569276709;0.0620562596035289;0.185778563641518;0.00234467066714634;-0.0403577500141127;0.225312688582487;0.0787974220721334;0.164334103900326
PGM;0.222031589453813;0.0652403884072698;0.192805668039007;0.00829268614596711;-0.0429592618349357;0.232491567033709;0.08333708181408;0.176127403570304
PYK;0.865533182426622;0.0935405939321028;0.0810155174043067;-0.0388869336037325;-0.164842481453812;0.1337899169327;0.188128847485559;0.330137689535333
PDH;0.0881925857191493;0.0780364430513279;0.14742791867188;-0.0147208722205891;-0.0906394185706496;-0.113102190269646;0.121862251579866;0.236522280951195
PGL;-0.718822806124976;-0.0479367027496751;-0.59612941379811;-0.282792971723762;0.124943083191378;-1.44;-0.0543382531081791;0.000001
GND;-0.549456086832479;-0.0479367027496751;-0.59612941379811;-0.282792971723762;0.124943083191378;-0.0774470881729886;-0.0543382531081791;0.000001
RPE;-0.809879342124298;-0.0907770301908468;-0.965090032587925;-0.452183711545451;3.94;0.000001;0.0715256459185984;0.201886861497769
RPI;-0.372917915040608;-0.0491886333081295;-0.400654796631776;-0.119442874513323;0.0910418200792044;0.000001;-0.0647028170900537;-0.0862309170762843
TKT1;-0.590342359011536;-0.0257137859470179;-0.649705535766063;-0.315559330745454;0.313962295938;0.000001;0.0715256459185984;0.201886861497769
TALA;-0.590342359011536;-0.0257137859470179;-0.649705535766063;-0.315559330745454;0.313962295938;0.000001;0.0715256459185984;0.201886861497769
TKT2;-4.65;-2.78;-10.88;-5.24;-3.63;0.000001;0.000001;0.000001
CS;0.216507640522062;0.118398156479411;0.336321737578902;0.0563475110009244;-0.063322833574332;0.0881768926691909;0.138935807590465;0.297961227926676
ACONTa;0.216507640522062;0.118398156479411;0.336321737578902;0.0563475110009244;-0.063322833574332;0.0881768926691909;0.138935807590465;0.297961227926676
ICDHyr;0.384756161670407;0.137541888451053;0.546956012763879;0.13282336084698;-0.0133182175652916;0.38325984314277;0.124600251433632;0.313289907911268
AKGDH;0.433491014708988;0.150309872846476;0.589599887068942;0.148382439317665;-0.0155270183891457;0.396358405329326;0.128282613652475;0.328709615179331
SUCDi;0.243636704986084;0.128189639218516;0.375557793393156;0.0675107178755815;-0.0684591336654357;0.0899999160558163;0.150397460161552;0.332695259698191
FUM;0.243636704986084;0.128189639218516;0.375557793393156;0.0675107178755815;-0.0684591336654357;0.0899999160558163;0.150397460161552;0.332695259698191
MDH;0.130299201532713;0.108121050083091;0.192361350538389;0.00287228638307116;-0.11359306646972;-0.149568762364207;0.163328627405332;0.3292245882167
PPC;4.73;0.0712655990381292;1.29;0.385737334385245;4.53;18.95;-0.0690967855310897;0.000001
ME1;-3.93;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001;0.000001
ICL;-0.814116957805631;-0.26939364349241;-1.86;-0.895084441699448;-0.747385240584334;-3.16;7.57;0.139466261806737
MALS;-0.814116957805631;-0.26939364349241;-1.86;-0.895084441699448;-0.747385240584334;-3.16;7.57;0.139466261806737
