,steady state,pgi,pfkB,fbp,gpmA,pyk,ppsA,g6pdh2r,pgl,gnd,rpe,rpi,tktB,tala
GLCpts,2.752,2.73,2.84,2.7,2.7,2.82,3,3.18,3.36,2.92,3.63,3.18,2.97,2.8
PGI,1.843,0.01,1.477,2.295,2.241,2.087,2.04,3.148,2.621,2.891,3.34,2.131,2.554,2.38
PFK,2.373,0.928,2.187,2.349,2.322,2.369,2.46,2.957,2.89,2.716,3.34,2.194,2.614,2.436
FBA,2.283,0.928,2.187,2.349,2.322,2.369,2.46,2.957,2.89,2.716,3.34,2.194,2.614,2.436
TPI,2.283,0.928,2.187,2.349,2.322,2.369,2.46,2.957,2.89,2.716,3.34,2.194,2.614,2.436
GAPD,4.738,3.276,4.629,4.671,4.644,4.794,5.1,5.756,5.813,5.314,6.57,4.993,5.198,4.872
PGM,-4.471,-2.976,-4.345,-4.374,-4.347,-4.512,-4.8,-5.438,-5.443,-5.052,-6.28,-4.706,-4.901,-4.564
PYK,1.56,0.137,1.392,1.539,1.107,1.438,1.05,2.162,1.714,1.956,2.541,1.431,1.188,1.092
PDH,3.894,3.331,3.692,3.834,3.186,3.638,3.42,4.961,4.402,4.351,5.554,4.611,3.564,3.276
PGL,0.872,2.675,1.335,0.378,0.432,0.677,0.93,0.01,0.672,0.01,0.254,0.986,0.386,0.364
GND,0.872,1.665,1.335,0.378,0.432,0.677,0.93,0.01,0.672,0.01,0.254,0.382,0.386,0.364
RPE,0.452,0.956,0.71,0.081,0.135,0.282,0.45,-0.159,0.269,"-0,146",0.01,0.095,0.089,0.084
RPI,-0.419,-0.853,-0.689,-0.361,-0.361,-0.459,-0.525,-0.164,-0.394,"-0,164",-0.23,-0.295,-0.328,-0.328
TKT1,0.258,0.519,0.398,0.081,0.108,0.197,0.27,-0.032,0.202,"-0,029",0.036,0.095,0.089,0.084
TALA,0.258,0.519,0.398,0.081,0.108,0.197,0.27,-0.032,0.202,"-0,029",0.036,0.095,0.089,0.084
TKT2,0.194,0.437,0.312,0.01,0.027,0.113,0.18,-0.127,0.101,"-0,117","-0,036",0.01,0.01,0.01
CS,2.689,1.829,2.158,2.214,2.16,2.341,2.61,3.275,2.957,3.154,4.029,3.148,2.732,2.408
ACONTa,2.689,1.829,2.158,2.214,2.16,2.341,2.61,3.275,2.957,3.154,4.029,3.148,2.732,2.408
ICDHyr,2.154,1.119,1.448,1.404,1.971,1.833,2.61,2.417,2.453,2.716,3.412,2.512,2.732,2.324
AKGDH,1.961,0.901,1.221,1.161,1.728,1.607,2.37,2.162,2.184,2.482,3.158,2.29,2.495,2.1
SUCDi,2.613,1.583,1.931,1.971,1.944,2.087,2.37,3.021,2.688,2.949,3.812,2.926,2.495,2.156
FUM,2.496,1.583,1.931,1.971,1.944,2.087,2.37,3.021,2.688,2.949,3.812,2.926,2.495,2.156
MDH,2.694,2.211,2.556,2.565,2.133,2.594,2.37,3.657,3.158,3.416,4.429,3.53,2.495,2.212
PPC,0.364,0.01,0.01,0.027,0.432,0.141,0.63,0.01,0.235,0.088,0.01,0.01,0.624,0.56
ME1,0.0467,0.055,0.057,0.216,0.01,0.01,0.01,0.223,0.01,0.01,0.01,0.01,0.01,0.01
ICL,0.534,0.683,0.71,0.81,0.189,0.508,0.01,0.859,0.504,0.467,0.617,0.636,0,0.056
MALS,0.534,0.683,0.71,0.81,0.189,0.508,0.01,0.859,0.504,0.467,0.617,0.636,0,0.056
CO2t,-8.905,-7.071,-7.753,-6.939,-6.885,-7.614,-8.7,-9.763,-9.475,-9.461,-12.378,-9.763,-8.524,-7.504
BIOMASS_Ecoli_core_w_GAM,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
SUCCt3,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
SUCCt2_2,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
