parameter,reaction,metabolite
km_substrate1_ACALD,ACALD,nad_c
km_product1_ACALD,ACALD,nadh_c
km_substrate2_ACALD,ACALD,coa_c
km_product2_ACALD,ACALD,accoa_c
km_substrate3_ACALD,ACALD,acald_c
km_substrate_ACALDt,ACALDt,acald_e
km_product_ACALDt,ACALDt,acald_c
km_substrate1_ACKr,ACKr,atp_c
km_product1_ACKr,ACKr,adp_c
km_substrate2_ACKr,ACKr,ac_c
km_product2_ACKr,ACKr,actp_c
km_substrate_ACONTa,ACONTa,cit_c
km_product_ACONTa,ACONTa,acon_C_c
km_substrate_ACONTb,ACONTb,acon_C_c
km_product_ACONTb,ACONTb,icit_c
km_substrate_ACt2r,ACt2r,ac_e
km_product_ACt2r,ACt2r,ac_c
km_substrate1_ADK1,ADK1,atp_c
km_product1_ADK1,ADK1,adp_c
km_substrate2_ADK1,ADK1,amp_c
km_substrate1_AKGDH,AKGDH,nad_c
km_product1_AKGDH,AKGDH,succoa_c
km_substrate2_AKGDH,AKGDH,coa_c
km_product2_AKGDH,AKGDH,nadh_c
km_substrate3_AKGDH,AKGDH,akg_c
km_product3_AKGDH,AKGDH,co2_c
km_substrate_AKGt2r,AKGt2r,akg_e
km_product_AKGt2r,AKGt2r,akg_c
km_substrate1_ALCD2x,ALCD2x,nad_c
km_product1_ALCD2x,ALCD2x,nadh_c
km_substrate2_ALCD2x,ALCD2x,etoh_c
km_product2_ALCD2x,ALCD2x,acald_c
km_substrate1_ATPM,ATPM,atp_c
km_substrate1_ATPS4r,ATPS4r,pi_c
km_substrate2_ATPS4r,ATPS4r,adp_c
km_product_ATPS4r,ATPS4r,atp_c
km_substrate1_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,f6p_c
km_substrate2_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,g3p_c
km_substrate3_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,g6p_c
km_substrate4_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,gln__L_c
km_substrate5_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,e4p_c
km_substrate6_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,pep_c
km_substrate7_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,r5p_c
km_substrate8_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,_3pg_c
km_substrate9_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,oaa_c
km_substrate10_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,pyr_c
km_substrate11_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,nad_c
km_substrate12_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,accoa_c
km_substrate13_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,glu__L_c
km_substrate14_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,nadph_c
km_substrate15_BIOMASS_Ecoli_core_w_GAM,BIOMASS_Ecoli_core_w_GAM,atp_c
km_substrate_CO2t,CO2t,co2_e
km_product_CO2t,CO2t,co2_c
km_substrate1_CS,CS,oaa_c
km_product1_CS,CS,coa_c
km_substrate2_CS,CS,accoa_c
km_product2_CS,CS,cit_c
km_substrate1_CYTBD,CYTBD,o2_c
km_substrate2_CYTBD,CYTBD,q8h2_c
km_substrate_D_LACt2,D_LACt2,lac__D_e
km_product_D_LACt2,D_LACt2,lac__D_c
km_substrate_ENO,ENO,_2pg_c
km_product_ENO,ENO,pep_c
km_substrate_ETOHt2r,ETOHt2r,etoh_e
km_product_ETOHt2r,ETOHt2r,etoh_c
km_substrate_FBA,FBA,fdp_c
km_product1_FBA,FBA,g3p_c
km_product2_FBA,FBA,dhap_c
km_substrate_FBP,FBP,fdp_c
km_product1_FBP,FBP,pi_c
km_product2_FBP,FBP,f6p_c
km_substrate_FORt,FORt,for_e
km_product_FORt,FORt,for_c
km_substrate_FORt2,FORt2,for_e
km_product_FORt2,FORt2,for_c
km_substrate1_FRD7,FRD7,q8h2_c
km_product1_FRD7,FRD7,succ_c
km_substrate2_FRD7,FRD7,fum_c
km_product2_FRD7,FRD7,q8_c
km_substrate1_FRUpts2,FRUpts2,pep_c
