parameter,reaction,metabolite
km_substrate_2DDA7Ptm,2DDA7Ptm,_2dda7p_c
km_product_2DDA7Ptm,2DDA7Ptm,_2dda7p_m
km_substrate_2OBUTtm,2OBUTtm,_2obut_c
km_product_2OBUTtm,2OBUTtm,_2obut_m
km_substrate1_2OXOADPTm,2OXOADPTm,akg_c
km_product1_2OXOADPTm,2OXOADPTm,akg_m
km_substrate2_2OXOADPTm,2OXOADPTm,_2oxoadp_m
km_product2_2OXOADPTm,2OXOADPTm,_2oxoadp_c
km_substrate_2PGt6,2PGt6,_2pg_e
km_product_2PGt6,2PGt6,_2pg_c
km_substrate_2PHETOHt,2PHETOHt,_2phetoh_e
km_product_2PHETOHt,2PHETOHt,_2phetoh_c
km_substrate_2PHETOHtm,2PHETOHtm,_2phetoh_m
km_product_2PHETOHtm,2PHETOHtm,_2phetoh_c
km_substrate_3C3HMPtm,3C3HMPtm,_3c3hmp_c
km_product_3C3HMPtm,3C3HMPtm,_3c3hmp_m
km_substrate_3MOPtm,3MOPtm,_3mop_c
km_product_3MOPtm,3MOPtm,_3mop_m
km_substrate_3PGt6,3PGt6,_3pg_e
km_product_3PGt6,3PGt6,_3pg_c
km_substrate_6PGCt6,6PGCt6,_6pgc_e
km_product_6PGCt6,6PGCt6,_6pgc_c
km_substrate_6PHOPHO,6PHOPHO,_6pgc_c
km_product1_6PHOPHO,6PHOPHO,pi_c
km_product2_6PHOPHO,6PHOPHO,glcn_c
km_substrate1_AATA,AATA,glu__L_c
km_product1_AATA,AATA,akg_c
km_substrate2_AATA,AATA,_2oxoadp_c
km_product2_AATA,AATA,L2aadp_c
km_substrate1_ABTA,ABTA,akg_c
km_product1_ABTA,ABTA,sucsal_c
km_substrate2_ABTA,ABTA,_4abut_c
km_product2_ABTA,ABTA,glu__L_c
km_substrate1_ACACT1r,ACACT1r,accoa_c
km_product1_ACACT1r,ACACT1r,coa_c
km_product2_ACACT1r,ACACT1r,aacoa_c
km_substrate_ACALDt,ACALDt,acald_e
km_product_ACALDt,ACALDt,acald_c
km_substrate_ACALDtm,ACALDtm,acald_m
km_product_ACALDtm,ACALDtm,acald_c
km_substrate1_ACCOAC,ACCOAC,hco3_c
km_product1_ACCOAC,ACCOAC,pi_c
km_substrate2_ACCOAC,ACCOAC,atp_c
km_product2_ACCOAC,ACCOAC,malcoa_c
km_substrate3_ACCOAC,ACCOAC,accoa_c
km_product3_ACCOAC,ACCOAC,adp_c
km_substrate_ACN_a_m,ACN_a_m,cit_m
km_product_ACN_a_m,ACN_a_m,acon_C_m
km_substrate_ACN_b_m,ACN_b_m,acon_C_m
km_product_ACN_b_m,ACN_b_m,icit_m
km_substrate_ACOAHim,ACOAHim,accoa_m
km_product1_ACOAHim,ACOAHim,coa_m
km_product2_ACOAHim,ACOAHim,ac_m
km_substrate_ACONTa,ACONTa,cit_c
km_product_ACONTa,ACONTa,acon_C_c
km_substrate_ACONTb,ACONTb,acon_C_c
km_product_ACONTb,ACONTb,icit_c
km_substrate_ACONTm,ACONTm,cit_m
km_product_ACONTm,ACONTm,icit_m
km_substrate1_ACOTAim,ACOTAim,glu__L_m
km_product1_ACOTAim,ACOTAim,akg_m
km_substrate2_ACOTAim,ACOTAim,acg5sa_m
km_product2_ACOTAim,ACOTAim,acorn_m
km_substrate1_ACS,ACS,coa_c
km_product1_ACS,ACS,ppi_c
km_substrate2_ACS,ACS,atp_c
km_product2_ACS,ACS,amp_c
km_substrate3_ACS,ACS,ac_c
km_product3_ACS,ACS,accoa_c
km_substrate1_ACSm,ACSm,coa_m
km_product1_ACSm,ACSm,ppi_m
km_substrate2_ACSm,ACSm,atp_m
km_product2_ACSm,ACSm,amp_m
km_substrate3_ACSm,ACSm,ac_m
km_product3_ACSm,ACSm,accoa_m
km_substrate_ACtr,ACtr,ac_c
km_product_ACtr,ACtr,ac_e
km_substrate1_ADCS,ADCS,gln__L_c
km_product1_ADCS,ADCS,glu__L_c
km_substrate2_ADCS,ADCS,chor_c
km_product2_ADCS,ADCS,_4adcho_c
km_substrate1_ADK1,ADK1,atp_c
km_product1_ADK1,ADK1,adp_c
km_substrate2_ADK1,ADK1,amp_c
km_substrate1_ADK1m,ADK1m,atp_m
km_product1_ADK1m,ADK1m,adp_m
km_substrate2_ADK1m,ADK1m,amp_m
km_substrate_ADSL1r,ADSL1r,dcamp_c
km_product1_ADSL1r,ADSL1r,fum_c
km_product2_ADSL1r,ADSL1r,amp_c
km_substrate_ADSL2r,ADSL2r,_25aics_c
km_product1_ADSL2r,ADSL2r,fum_c
km_product2_ADSL2r,ADSL2r,aicar_c
km_substrate1_ADSS,ADSS,imp_c
km_product1_ADSS,ADSS,pi_c
km_substrate2_ADSS,ADSS,gtp_c
km_product2_ADSS,ADSS,gdp_c
km_substrate3_ADSS,ADSS,asp__L_c
km_product3_ADSS,ADSS,dcamp_c
km_substrate1_AGTi,AGTi,glx_c
km_product1_AGTi,AGTi,pyr_c
km_substrate2_AGTi,AGTi,ala__L_c
km_product2_AGTi,AGTi,gly_c
km_substrate1_AKGCITtm,AKGCITtm,cit_m
km_product1_AKGCITtm,AKGCITtm,cit_c
km_substrate2_AKGCITtm,AKGCITtm,akg_c
km_product2_AKGCITtm,AKGCITtm,akg_m
km_substrate1_AKGDam,AKGDam,lpam_m
km_product1_AKGDam,AKGDam,sdhlam_m
km_substrate2_AKGDam,AKGDam,akg_m
km_product2_AKGDam,AKGDam,co2_m
km_substrate1_AKGDbm,AKGDbm,sdhlam_m
km_product1_AKGDbm,AKGDbm,succoa_m
km_substrate2_AKGDbm,AKGDbm,coa_m
km_product2_AKGDbm,AKGDbm,dhlam_m
km_substrate1_AKGMAL,AKGMAL,mal__L_e
km_product1_AKGMAL,AKGMAL,mal__L_c
km_substrate2_AKGMAL,AKGMAL,akg_c
km_product2_AKGMAL,AKGMAL,akg_e
km_substrate1_AKGMALtm,AKGMALtm,mal__L_c
km_product1_AKGMALtm,AKGMALtm,mal__L_m
km_substrate2_AKGMALtm,AKGMALtm,akg_m
km_product2_AKGMALtm,AKGMALtm,akg_c
km_substrate_AKGt,AKGt,akg_e
km_product_AKGt,AKGt,akg_c
km_substrate1_ALATA_L,ALATA_L,ala__L_c
km_product1_ALATA_L,ALATA_L,pyr_c
km_substrate2_ALATA_L,ALATA_L,akg_c
km_product2_ALATA_L,ALATA_L,glu__L_c
km_substrate1_ALATA_Lm,ALATA_Lm,ala__L_m
km_product1_ALATA_Lm,ALATA_Lm,pyr_m
km_substrate2_ALATA_Lm,ALATA_Lm,akg_m
km_product2_ALATA_Lm,ALATA_Lm,glu__L_m
km_substrate_ALAt2r,ALAt2r,ala__L_e
km_product_ALAt2r,ALAt2r,ala__L_c
km_substrate_ALAtmi,ALAtmi,ala__L_m
km_product_ALAtmi,ALAtmi,ala__L_c
km_substrate1_ALCD25xi,ALCD25xi,pacald_c
km_product1_ALCD25xi,ALCD25xi,nad_c
km_substrate2_ALCD25xi,ALCD25xi,nadh_c
km_product2_ALCD25xi,ALCD25xi,_2phetoh_c
km_substrate1_ALCD25xim,ALCD25xim,pacald_m
km_product1_ALCD25xim,ALCD25xim,nad_m
km_substrate2_ALCD25xim,ALCD25xim,nadh_m
km_product2_ALCD25xim,ALCD25xim,_2phetoh_m
km_substrate1_ALCD25yi,ALCD25yi,pacald_c
km_product1_ALCD25yi,ALCD25yi,nadp_c
km_substrate2_ALCD25yi,ALCD25yi,nadph_c
km_product2_ALCD25yi,ALCD25yi,_2phetoh_c
km_substrate1_ALCD26xi,ALCD26xi,nadh_c
km_product1_ALCD26xi,ALCD26xi,nad_c
km_substrate2_ALCD26xi,ALCD26xi,id3acald_c
km_product2_ALCD26xi,ALCD26xi,ind3eth_c
km_substrate1_ALCD26xim,ALCD26xim,nadh_m
km_product1_ALCD26xim,ALCD26xim,nad_m
km_substrate2_ALCD26xim,ALCD26xim,id3acald_m
km_product2_ALCD26xim,ALCD26xim,ind3eth_m
km_substrate1_ALCD2ir,ALCD2ir,nadh_c
km_product1_ALCD2ir,ALCD2ir,nad_c
km_substrate2_ALCD2ir,ALCD2ir,acald_c
km_product2_ALCD2ir,ALCD2ir,etoh_c
km_substrate1_ALCD2irm,ALCD2irm,nadh_m
km_product1_ALCD2irm,ALCD2irm,nad_m
km_substrate2_ALCD2irm,ALCD2irm,acald_m
km_product2_ALCD2irm,ALCD2irm,etoh_m
km_substrate1_ALCD2x,ALCD2x,nad_c
km_product1_ALCD2x,ALCD2x,nadh_c
km_substrate2_ALCD2x,ALCD2x,etoh_c
km_product2_ALCD2x,ALCD2x,acald_c
km_substrate1_ALDD2x,ALDD2x,nad_c
km_product1_ALDD2x,ALDD2x,nadh_c
km_substrate2_ALDD2x,ALDD2x,acald_c
km_product2_ALDD2x,ALDD2x,ac_c
km_substrate1_ALDD2xm,ALDD2xm,nad_m
km_product1_ALDD2xm,ALDD2xm,nadh_m
km_substrate2_ALDD2xm,ALDD2xm,acald_m
km_product2_ALDD2xm,ALDD2xm,ac_m
km_substrate1_ALDD2y,ALDD2y,nadp_c
km_product1_ALDD2y,ALDD2y,nadph_c
km_substrate2_ALDD2y,ALDD2y,acald_c
km_product2_ALDD2y,ALDD2y,ac_c
km_substrate1_ALDD2ym,ALDD2ym,nadp_m
km_product1_ALDD2ym,ALDD2ym,nadph_m
km_substrate2_ALDD2ym,ALDD2ym,acald_m
km_product2_ALDD2ym,ALDD2ym,ac_m
km_substrate_AMPDA,AMPDA,amp_c
km_product1_AMPDA,AMPDA,nh4_c
km_product2_AMPDA,AMPDA,imp_c
km_substrate_AMPtrm,AMPtrm,amp_c
km_product_AMPtrm,AMPtrm,amp_erm
km_substrate1_ANPRT,ANPRT,prpp_c
km_product1_ANPRT,ANPRT,pran_c
km_substrate2_ANPRT,ANPRT,anth_c
km_product2_ANPRT,ANPRT,ppi_c
km_substrate1_ANS,ANS,gln__L_c
km_product1_ANS,ANS,pyr_c
km_substrate2_ANS,ANS,chor_c
km_product2_ANS,ANS,glu__L_c
km_product3_ANS,ANS,anth_c
km_substrate_ASNN,ASNN,asn__L_c
km_product1_ASNN,ASNN,nh4_c
km_product2_ASNN,ASNN,asp__L_c
km_substrate1_ASNS1,ASNS1,gln__L_c
km_product1_ASNS1,ASNS1,ppi_c
km_substrate2_ASNS1,ASNS1,atp_c
km_product2_ASNS1,ASNS1,glu__L_c
km_substrate3_ASNS1,ASNS1,asp__L_c
km_product3_ASNS1,ASNS1,asn__L_c
km_product4_ASNS1,ASNS1,amp_c
km_substrate_ASNt2r,ASNt2r,asn__L_e
km_product_ASNt2r,ASNt2r,asn__L_c
km_substrate1_ASPCT,ASPCT,cbp_c
km_product1_ASPCT,ASPCT,pi_c
km_substrate2_ASPCT,ASPCT,asp__L_c
